COUNTY_FIPS,NHW MELANOMA INCIDENCE,Temperature range,*UV Daily Dose*,Cloud,*Elevation*,Temperature,*Cloud Variability*,*Temperature Variability*,Sun exposure,UV daily dose CDC,*UV Solar Noon*,*Income per capita*,*Median Household*,*Dermatologists*,*Primary care*,Doctors,"*Households >$50,000*","Households >$100,000",Health insurance < 65
35011,17.23,34.21818501,5387,29.68308493,1351.762806,15.42793046,4.153854708,78.70980119,5394,3631,176,40216.8,31969.5,0,53.87931034,53.87931034,40.45454545,16.51515152,76.68
6091,43.47,33.7274489,4865,39.8988323,1762.388535,8.250274309,18.31232485,71.8028378,4933,3068,145,39780.2,43511.5,0,26.57807309,39.86710963,46.8268359,26.60924751,85.38
21053,41.17,30.73475452,4151,61.79447609,301.78125,14.20325153,5.1497542,78.78049096,4147,2612,126,29029.6,29577.5,0,39.25648223,66.73601979,28.64892793,8.137432188,86.34
13189,57.38,28.50881743,4561,53.82494292,141.1742739,17.31567257,5.020716512,69.59602697,4566,3088,151,31912.8,38562.5,0,56.67670123,83.62136247,52.73686525,18.15783689,82.52
49033,19.97,38.0037131,4461,46.39668204,2092.957105,5.550791819,10.04414223,88.26161208,4441,2801,131,35046.2,51849,0,0,43.5615961,54.56081081,17.48310811,85.64
35035,32.09,33.63484549,5613,33.43133188,1609.000339,15.17950108,9.148841866,74.91033971,5597,3780,185,32215.6,41654,0,48.08413805,116.0757218,47.4137055,13.11269943,81.76
35003,36.27,33.07183366,5530,41.13829264,2253.337388,10.3743227,12.76438281,74.48437779,5319,3549,173,29648.6,42510,0,56.22715772,73.09530503,39.60720131,10.47463175,80.1
22019,35.38,22.76537956,4589,58.76573907,9.943808533,20.48873565,6.88108427,59.85085106,4540,3388,168,41111,46765.5,3.210385699,67.62086088,194.4479928,53.2979523,23.44589268,83.96
22111,46.19,29.63053763,4583,53.60375843,50.62094763,18.52841526,5.359827907,73.25546544,4501,3159,155,34366.8,36954,0,16.03334937,26.72224894,48.89401315,17.17482279,82.24
36101,42.83,33.39640161,3681,72.09996489,496.6182197,8.1639357,7.911283362,88.05598034,3587,2014,94,39630.4,48718.5,0.679332135,60.52849323,146.7357412,48.43934494,16.28548693,91.5
22105,45.23,24.73961538,4516,55.69881957,39.12021136,19.59478437,6.900822929,60.22041958,4601,3391,168,35443.2,43601.5,1.049262342,36.51432951,106.5525909,53.50132881,21.71080017,82.7
13025,37.07,24.4958307,4595,56.7177764,26.985,19.53965573,7.360928605,57.49005054,4630,3284,162,23928.8,37009,0,17.3712896,17.3712896,35.90485877,9.240278538,78.92
13171,52.64,28.07592868,4600,55.63297012,229.9461078,17.14998765,5.896656719,69.11352155,4524,3112,153,29870.6,40750.5,0,44.00778938,55.00973672,46.99619772,15.79576317,82.62
25015,20.07,34.45639874,3807,64.31015295,235.129326,9.457850631,5.110292399,89.27429726,3711,1999,94,46181.8,63171,2.696744076,141.2679012,377.3782171,60.58297796,29.76150902,96.5
21003,39.97,31.50204082,4210,60.74247536,217.0273556,14.5962648,5.157168812,80.84743008,4152,2621,127,28598.8,40962,4.893517069,11.74444096,31.31850924,41.15420375,10.89122061,86.9
25025,47.61,30.49717868,3908,55.262252,-1.040983607,10.19226749,4.90469008,81.58344828,3760,2035,96,65358.8,58143,14.40558216,150.0443657,1060.729582,66.88769531,40.29343745,95
16051,60.12,38.80688468,4226,45.44977193,1484.261698,8.252977989,15.06728916,91.93039157,4299,2555,118,30625,54613,3.68690779,25.07097297,36.8690779,56.68214997,19.800929,84.04
21231,24.04,30.59950631,4133,62.16606691,328.7378855,14.00486832,5.41590236,78.41380691,4119,2588,125,25736,31144,0,65.10859531,77.74160634,28.40510683,6.681219819,86.5
